id,種別,英語原文,日本語訳
S1,短い説明,"Free, full-featured WordPress booking plugin. Built for consultation-style appointments with a 3-step flow (input, confirm, done).",完全無料・多機能のWordPress予約プラグイン。面談・相談型の予約に最適化された、入力→確認→完了の3ステップフロー。
D1,段落,"Smart Booking is a completely free WordPress booking plugin built specifically for consultation-style appointments tied to a person (a staff member). It is designed for use cases such as lawyers, certified professionals, marriage agencies, chiropractic clinics, and tutoring schools.",Smart Booking は、人（担当者）に紐づく面談・相談型の予約に特化した、完全無料のWordPress予約プラグインです。弁護士・士業、結婚相談所、整体院・治療院、学習塾・予備校といった業種での利用を想定して設計されています。
D2,見出し,= Key Features =,= 主な機能 =
D3,箇条書き,"* **Completely free, no limits** — There is no Pro version, no paid add-ons, and no license activation. Every feature is free.",* **完全無料・制限なし** — Pro版・有料アドオン・ライセンス認証は一切ありません。すべての機能を無料で利用できます。
D4,箇条書き,"* **Ready in 5 minutes** — Activating the plugin auto-creates a default store, staff member, and the three core fields (name, email, phone). Just paste the `[smart_booking]` shortcode into a post or page to display the booking form.",* **最短5分で導入** — プラグインを有効化すると、デフォルトの店舗・担当者と3つの基本項目（氏名・メールアドレス・電話番号）が自動作成されます。あとは投稿や固定ページに `[smart_booking]` ショートコードを貼るだけで予約フォームが表示されます。
D5,箇条書き,"* **Optimized for the Japanese booking flow** — A 3-step flow (""input → confirmation → done"") that lets the customer review their entries on a dedicated confirmation screen before finalizing the booking.",* **日本の予約フローに最適化** — 「入力 → 確認 → 完了」の3ステップフロー。予約を確定する前に、専用の確認画面で入力内容を見直せます。
D6,箇条書き,* **Multi-store / multi-staff management** — Manage schedules per store and per staff member. Whether the store-select and staff-select steps are shown to customers is automatically decided by how many active records exist (skipped when there is only one).,* **複数店舗・複数担当者の管理** — 店舗ごと・担当者ごとにスケジュールを管理できます。店舗選択・担当者選択のステップを予約者に表示するかどうかは、有効なレコードの数に応じて自動的に判定されます（1件のみの場合はスキップ）。
D7,箇条書き,"* **Flexible schedule configuration** — Time slots in 30 / 60 / 90 / 120-minute units, capacity per slot, weekday-pattern bulk copy, and an option to overwrite existing schedules.",* **柔軟なスケジュール設定** — 30分／60分／90分／120分単位の時間枠、枠ごとの予約可能数、曜日パターンによる一括コピー、既存スケジュールの上書きオプションに対応します。
D8,箇条書き,"* **Calendar display modes** — Choose between day view (horizontal scroll), month view (calendar grid), or a toggle between both, configurable from the admin screen.",* **カレンダー表示モード** — 日表示（横スクロール）、月表示（カレンダーグリッド）、または両者の切替から選択でき、管理画面で設定できます。
D9,箇条書き,"* **Custom fields** — In addition to the three built-in fields (name, email, phone), administrators can add text, email, phone, textarea, select, radio, and checkbox fields.",* **カスタムフィールド** — 3つの基本項目（氏名・メールアドレス・電話番号）に加えて、管理者がテキスト・メール・電話番号・テキストエリア・セレクトボックス・ラジオボタン・チェックボックスの項目を追加できます。
D10,箇条書き,"* **Email notifications** — Automatic emails are sent to the customer and the administrator when a booking is received, and a confirmation email is sent to the customer on approval. All templates are editable from the admin screen.",* **メール通知** — 予約受付時に予約者と管理者へ自動でメールを送信し、承認時には予約者へ確認メールを送信します。すべてのテンプレートは管理画面で編集できます。
D11,箇条書き,"* **Design customization** — Button color, date-selection color, time-slot color, required-mark color, and focus color are all configurable from the admin screen.",* **デザインカスタマイズ** — ボタン色、日付選択色、時間枠色、必須マーク色、フォーカス色を、すべて管理画面から設定できます。
D12,箇条書き,"* **Concurrent booking protection** — Capacity is enforced through a single atomic SQL UPDATE, preventing double-bookings when multiple users submit at the same moment.",* **同時予約の競合防止** — 1回のアトミックなSQL UPDATEによって予約可能数を厳密に管理し、複数のユーザーが同時に送信した場合でも二重予約を防止します。
D13,箇条書き,"* **Google Tag Manager (GTM) integration** — Each booking step (`store_select`, `staff_select`, `date_select`, `time_select`, `form_input`, `confirm`, `complete`) is automatically pushed to `window.dataLayer`, so you can wire up GA4 funnels and Google Ads conversion tags through GTM without writing any code. The GTM container tag itself must be installed separately on your site.",* **Googleタグマネージャー（GTM）連携** — 各予約ステップ（`store_select`、`staff_select`、`date_select`、`time_select`、`form_input`、`confirm`、`complete`）が自動的に `window.dataLayer` へプッシュされます。コードを書かずに、GTM経由でGA4のファネルやGoogle広告のコンバージョンタグを設定できます。なお、GTMコンテナタグ自体は別途サイトへの設置が必要です。
D14,箇条書き,"* **WordPress.org guideline compliant** — No external CDN scripts/styles, no PHP sessions, all queries use `$wpdb->prepare()`, all output is escaped, and every REST endpoint enforces nonce + `current_user_can('manage_options')`.",* **WordPress.orgガイドライン準拠** — 外部CDNのスクリプト／スタイル不使用、PHPセッション不使用、全クエリで `$wpdb->prepare()` を使用、全出力をエスケープ、全RESTエンドポイントで nonce ＋ `current_user_can('manage_options')` を検証します。
D15,見出し,= Supported booking flow =,= 対応する予約フロー =
D16,段落,[Store Select] → [Staff Select] → [Date Select] → [Time Select] → [Form Input] → [Confirmation] → [Done],[店舗選択] → [担当者選択] → [日付選択] → [時間選択] → [フォーム入力] → [確認] → [完了]
D17,段落,"The store-select and staff-select steps are shown only when more than one active store / staff record exists. With a single store and a single staff member, the customer starts directly from date selection.",店舗選択・担当者選択のステップは、有効な店舗／担当者が複数存在する場合にのみ表示されます。店舗が1つ・担当者が1人の場合、予約者は日付選択から直接始まります。
D18,見出し,= Optional integrations (off by default) =,= 任意の外部連携（デフォルトはオフ） =
D19,段落,"The following external integrations are **off by default**. They only initiate any outbound traffic after an administrator explicitly enables them on the ""Integrations"" tab and provides the required credentials (API key, etc.).",以下の外部連携は**デフォルトでオフ**です。管理者が「外部連携」タブで明示的に有効化し、必要な認証情報（APIキー等）を入力した場合にのみ、外部への通信が発生します。
D20,箇条書き,* **Google Calendar integration** — Creates a calendar event when a booking is received and deletes it on cancellation.,* **Googleカレンダー連携** — 予約受付時にカレンダーへイベントを作成し、キャンセル時にイベントを削除します。
D21,箇条書き,* **ChatWork notifications** — Posts a notification message to a designated ChatWork room when a booking is received.,* **ChatWork通知** — 予約受付時に、指定したChatWorkルームへ通知メッセージを投稿します。
D22,段落,"See the ""External services"" section below for full details.",詳細は下記の「External services」セクションをご覧ください。
D23,見出し,= Customization & feature requests =,= カスタマイズ・機能リクエスト =
